Problem:    
Rows:       6374
Columns:    1664
Non-zeros:  34364
Status:     OPTIMAL
Objective:  Z = 80000 (MINimum)

   No.   Row name   St   Activity     Lower bound   Upper bound    Marginal
------ ------------ -- ------------- ------------- ------------- -------------
   279 c_uf_279     B          -0.25                           0 
   280 c_uf_280     B          -0.25                           0 
   281 c_uf_281     NU             0                           0       -141667 
   282 c_uf_282     NU             0                           0       -127778 
   283 c_uf_283     NU             0                           0       -108333 
   284 c_uf_284     NU             0                           0       -125000 
   285 c_uf_285     NU             0                           0       -140000 
   286 c_uf_286     NU             0                           0       -115000 
   287 c_uf_287     NU             0                           0        -50000 
   288 c_uf_288     NU             0                           0       -128889 
   289 c_uf_289     NU             0                           0       -113333 
   290 c_uf_290     NU             0                           0       -116667 
   291 c_uf_291     NU             0                           0       -100000 
   292 c_uf_292     NU             0                           0      -77777.8 
   293 c_uf_293     NU             0                           0      -66666.7 
   294 c_uf_294     NU             0                           0      -83333.3 
   295 c_uf_295     NU             0                           0        -90000 
   296 c_uf_296     NU             0                           0        -65000 
   297 c_uf_297     B              0                           0 
   298 c_uf_298     NU             0                           0      -83333.3 
   299 c_uf_299     NU             0                           0      -73333.3 
   300 c_uf_300     NU             0                           0        -75000 
   301 c_uf_301     NU             0                           0        -50000 
   302 c_uf_302     NU             0                           0      -33333.3 
   303 c_uf_303     NU             0                           0        -25000 
   304 c_uf_304     NU             0                           0        -50000 
   305 c_uf_305     NU             0                           0        -40000 
   306 c_uf_306     NU             0                           0        -25000 
   307 c_uf_307     NU             0                           0      -33333.3 
   308 c_uf_308     NU             0                           0        -50000 
   309 c_uf_309     NU             0                           0        -40000 
   310 c_uf_310     NU             0                           0        -25000 
   311 c_uf_311     B           -0.5                           0 
   312 c_uf_312     B              0                           0 
   313 c_uf_313     B              0                           0 
   314 c_uf_314     B              0                           0 
   315 c_uf_315     B          -0.25                           0 
   316 c_uf_316     B          -0.25                           0 
   317 c_uf_317     B          -0.25                           0 
   318 c_uf_318     B          -0.25                           0 
   319 c_uf_319     B          -0.25                           0 
   320 c_uf_320     B          -0.25                           0 
   321 c_uf_321     NU             0                           0       -141667 
   322 c_uf_322     NU             0                           0       -127778 
   323 c_uf_323     NU             0                           0       -108333 
   324 c_uf_324     NU             0                           0       -125000 
   325 c_uf_325     NU             0                           0       -140000 
   326 c_uf_326     NU             0                           0       -115000 
   327 c_uf_327     NU             0                           0        -50000 
   328 c_uf_328     NU             0                           0       -128889 
   329 c_uf_329     NU             0                           0       -113333 
   330 c_uf_330     NU             0                           0       -116667 
   331 c_uf_331     NU             0                           0       -100000 
   332 c_uf_332     NU             0                           0      -77777.8 
   333 c_uf_333     NU             0                           0      -66666.7 
   334 c_uf_334     NU             0                           0      -83333.3 
   335 c_uf_335     NU             0                           0        -90000 
   336 c_uf_336     NU             0                           0        -65000 
   337 c_uf_337     NU             0                           0         < eps
   338 c_uf_338     NU             0                           0      -83333.3 
   339 c_uf_339     NU             0                           0      -73333.3 
   340 c_uf_340     NU             0                           0        -75000 
   341 c_uf_341     NU             0                           0        -50000 
   342 c_uf_342     NU             0                           0      -33333.3 
   343 c_uf_343     NU             0                           0        -25000 
   344 c_uf_344     NU             0                           0        -50000 
   345 c_uf_345     NU             0                           0        -40000 
   346 c_uf_346     NU             0                           0        -25000 
   347 c_uf_347     NU             0                           0      -33333.3 
   348 c_uf_348     NU             0                           0        -50000 
   349 c_uf_349     NU             0                           0        -40000 
   350 c_uf_350     NU             0                           0        -25000 
   351 c_uf_351     B          -0.25                           0 
   352 c_uf_352     B              0                           0 
   353 c_uf_353     B           -0.5                           0 
   354 c_uf_354     B          -0.25                           0 
   355 c_uf_355     B              0                           0 
   356 c_uf_356     B          -0.25                           0 
   357 c_uf_357     B          -0.25                           0 
   358 c_uf_358     B              0                           0 
   359 c_uf_359     B          -0.25                           0 
   360 c_uf_360     B          -0.25                           0 
   361 c_uf_361     NU             0                           0       -141667 
   362 c_uf_362     NU             0                           0       -127778 
   363 c_uf_363     NU             0                           0       -108333 
   364 c_uf_364     NU             0                           0       -125000 
   365 c_uf_365     NU             0                           0       -140000 
   366 c_uf_366     NU             0                           0       -115000 
   367 c_uf_367     NU             0                           0        -50000 
   368 c_uf_368     NU             0                           0       -128889 
   369 c_uf_369     NU             0                           0       -113333 
   370 c_uf_370     NU             0                           0       -116667 
   371 c_uf_371     NU             0                           0       -100000 
   372 c_uf_372     NU             0                           0      -77777.8 
   373 c_uf_373     NU             0                           0      -66666.7 
   374 c_uf_374     NU             0                           0      -83333.3 
   375 c_uf_375     NU             0                           0        -90000 
   376 c_uf_376     NU             0                           0        -65000 
   377 c_uf_377     NU             0                           0         < eps
   378 c_uf_378     NU             0                           0      -83333.3 
   379 c_uf_379     NU             0                           0      -73333.3 
   380 c_uf_380     NU             0                           0        -75000 
   381 c_uf_381     NU             0                           0        -50000 
   382 c_uf_382     NU             0                           0      -33333.3 
   383 c_uf_383     NU             0                           0        -25000 
   384 c_uf_384     NU             0                           0        -50000 
   385 c_uf_385     NU             0                           0        -40000 
   386 c_uf_386     NU             0                           0        -25000 
   387 c_uf_387     NU             0                           0      -33333.3 
   388 c_uf_388     NU             0                           0        -50000 
   389 c_uf_389     NU             0                           0        -40000 
   390 c_uf_390     NU             0                           0        -25000 
   391 c_uf_391     B              0                           0 
   392 c_uf_392     B           -0.5                           0 
   393 c_uf_393     B           -0.5                           0 
   394 c_uf_394     B           -0.5                           0 
   395 c_uf_395     B          -0.25                           0 
   396 c_uf_396     B          -0.25                           0 
   397 c_uf_397     B          -0.25                           0 
   398 c_uf_398     B          -0.25                           0 
   399 c_uf_399     B          -0.25                           0 
   400 c_uf_400     B          -0.25                           0 
   401 c_uf_401     NU             0                           0       -141667 
   402 c_uf_402     NU             0                           0       -127778 
   403 c_uf_403     NU             0                           0       -108333 
   404 c_uf_404     NU             0                           0       -125000 
   405 c_uf_405     NU             0                           0       -140000 
   406 c_uf_406     NU             0                           0       -115000 
   407 c_uf_407     NU             0                           0        -50000 
   408 c_uf_408     NU             0                           0       -128889 
   409 c_uf_409     NU             0                           0       -113333 
   410 c_uf_410     NU             0                           0       -116667 
   411 c_uf_411     NU             0                           0       -100000 
   412 c_uf_412     NU             0                           0      -77777.8 
   413 c_uf_413     NU             0                           0      -66666.7 
   414 c_uf_414     NU             0                           0      -83333.3 
   415 c_uf_415     NU             0                           0        -90000 
   416 c_uf_416     NU             0                           0        -65000 
   417 c_uf_417     NU             0                           0         < eps
   418 c_uf_418     NU             0                           0      -83333.3 
   419 c_uf_419     NU             0                           0      -73333.3 
   420 c_uf_420     NU             0                           0        -75000 
